Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Limburg,Genk,N723,3.24,Weg naar As,N744,André Dumontlaan,4
Limburg,Genk,N75,15.65,Europalaan,N744,Wiemersmeerstraat,6
Limburg,Genk,N750,1.9,Oosterring,N77,Camerlo,2
Limburg,Genk,N76,17.7,Westring / Nieuwstraat,N702,Boudewijnlaan / Henry Fordlaan,5
Limburg,Genk,N76,21.91,Westerring,N75,Europalaan,4
Limburg,Genk,N76,23.5,Westerring,N779,Evence Coppéelaan,4
Limburg,Genk,N76,25.76,Hoevenzavellaan,N744,Onderwijslaan / E. Van Dorenlaan,3
Limburg,Genk,N76,26.25,Hoevenzavellaan,,Achterstraat / Ridderstraat,3
Limburg,Genk,N76,27.25,Torenstraat,,L. Londostraat,2
Limburg,Gingelom,N80,26.5,Steenweg,,Landenstraat / Oude Katsei,2
Limburg,Hasselt,N2,63.85,Diestersteenweg,,Spalbeekstraat / Wijerstraat,2
Limburg,Hasselt,N74,0.68,Kempischesteenweg,R71,GouverneurVerwilghensingel / Herkenrodesingel,7
Limburg,Hasselt,N74,1.11,Kempischesteenweg,N75,Genkersteenweg,3
Limburg,Hasselt,N74,1.6,Kempischesteenweg, -,Banneuxstraat / Paalsteenstraat,2
Limburg,Hasselt,R71,0,,N2,Diepenbekerweg,2
Limburg,Hasselt,R71,0.58,Gouverneur Verwilghensingel,,Elfde Liniestraat,4
Limburg,Hasselt,R71,1.81,Gouverneur Roppe Singel,N702,Koning Boudewijnlaan / Universiteitslaan,8
Limburg,Hasselt,R71,3.28,Gouverneur Roppe Singel, -,Kroonwinningstraat,4
Limburg,Hasselt,R71,3.84,Prinsbisscopsingel / Gouverneur Roppe Singel,N20,Luikersteenweg,6
Limburg,Hasselt,R71,4.24,Prins Bisschopsingel,,Geloesplein / Kliniekstraat,4
Limburg,Hasselt,R71,5.45,Prinsbischopsingel,N80,Sint-Truidersteenweg,7
Limburg,Hasselt,R71,5.87,Boerenkrijg Singel,,Slagerslaan / Biezenstraat,4
Limburg,Hasselt,R71,6.92,Hendrik Vanveldekesingel,,Boekstraat,4
